amfi_code,peak_date,trough_date,max_drawdown,scheme_name
119599,2023-01-17,2025-10-28,-0.5257422117012851,SBI Small Cap Fund - Direct Plan - Growth
119095,2025-05-22,2026-05-11,-0.5167775370852656,Axis Small Cap Fund - Regular - Growth
101207,2024-11-21,2026-05-11,-0.3544691649336603,ABSL Small Cap Fund - Regular - Growth
149324,2024-05-03,2025-01-03,-0.31171900300634214,DSP Small Cap Fund - Regular - Growth
119598,2024-08-28,2025-05-14,-0.2870600572176455,SBI Small Cap Fund - Regular Plan - Growth
102886,2025-01-07,2026-04-27,-0.2800112356639287,UTI Mid Cap Fund - Regular - Growth
100016,2022-03-30,2022-09-15,-0.24734440880673303,HDFC Top 100 Fund - Regular Plan - Growth
120842,2023-11-09,2024-10-17,-0.24003511326274884,Kotak Emerging Equity Fund - Regular - Growth
118634,2025-04-09,2026-02-20,-0.2334488614483311,Nippon India Small Cap Fund - Regular - Growth
119093,2022-02-24,2023-05-22,-0.21751396370148224,Axis Bluechip Fund - Direct - Growth
102887,2022-01-03,2022-07-04,-0.21539827112383225,UTI Flexi Cap Fund - Regular - Growth
125498,2025-04-04,2025-09-12,-0.21117279560132118,HDFC Mid-Cap Opportunities Fund - Direct - Growth
119094,2022-04-14,2022-08-11,-0.20960883862039192,Axis Midcap Fund - Regular - Growth
120506,2023-03-31,2023-08-14,-0.1982565826298267,ICICI Pru Value Discovery Fund - Regular - Growth
118633,2023-10-30,2024-02-29,-0.18629743138595511,Nippon India Large Cap Fund - Direct - Growth
120505,2024-10-24,2025-01-23,-0.18188513572116294,ICICI Pru Midcap Fund - Regular - Growth
120841,2024-01-09,2025-02-14,-0.1757361416468729,Kotak Bluechip Fund - Regular - Growth
118632,2024-01-02,2024-07-19,-0.17414075086657232,Nippon India Large Cap Fund - Regular - Growth
149323,2022-06-06,2022-10-24,-0.17248105753451382,DSP Midcap Fund - Regular - Growth
148569,2023-08-10,2023-10-20,-0.1639674294693263,Mirae Asset Tax Saver Fund - Regular - Growth
100033,2022-03-11,2022-05-12,-0.16217208574644848,HDFC Mid-Cap Opportunities Fund - Regular - Growth
148568,2023-09-05,2024-01-24,-0.1527259422823477,Mirae Asset Emerging Bluechip Fund - Regular - Growth
125497,2023-12-22,2025-01-01,-0.15200013055606398,HDFC Top 100 Fund - Direct Plan - Growth
119551,2023-08-24,2024-02-05,-0.1501238549864533,SBI Bluechip Fund - Regular Plan - Growth
149322,2022-01-03,2022-02-04,-0.14844576917771746,DSP Top 100 Equity Fund - Regular - Growth
119092,2023-10-12,2025-02-07,-0.1440161790933726,Axis Bluechip Fund - Regular - Growth
120503,2023-09-19,2023-11-09,-0.13897862823061635,ICICI Pru Bluechip Fund - Regular - Growth
120843,2022-03-07,2022-04-13,-0.1297396816518679,Kotak Flexicap Fund - Regular - Growth
120504,2022-10-04,2023-05-30,-0.12588275606922517,ICICI Pru Bluechip Fund - Direct - Growth
119552,2024-05-21,2024-09-02,-0.11803493502764295,SBI Bluechip Fund - Direct Plan - Growth
118635,2022-01-03,2022-06-09,-0.1165062450540909,Nippon India ETF Nifty 50 BeES
101206,2023-04-24,2023-07-05,-0.11291596329323073,ABSL Frontline Equity Fund - Regular - Growth
148567,2023-07-11,2023-10-20,-0.11265729075028275,Mirae Asset Large Cap Fund - Regular - Growth
102885,2022-02-03,2022-03-29,-0.1085986215250232,UTI Nifty 50 Index Fund - Regular - Growth
118636,2023-02-09,2024-02-09,-0.08316361763638702,Nippon India Gilt Securities Fund - Regular - Growth
119120,2024-09-16,2025-04-01,-0.04328728923970093,SBI Magnum Gilt Fund - Regular Plan - Growth
100025,2023-05-23,2023-07-28,-0.04308263824636349,HDFC Short Term Debt Fund - Regular - Growth
101208,2023-09-05,2023-09-12,-0.0016224980244717857,ABSL Liquid Fund - Regular - Growth
120844,2024-04-12,2024-04-30,-0.0011629327956168556,Kotak Liquid Fund - Regular - Growth
120507,2025-10-16,2025-10-20,-0.0009773140045925555,ICICI Pru Liquid Fund - Regular - Growth
