amfi_code,scheme_name,VaR_95,CVaR_95
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.014364,-0.01806
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.003793,-0.004994
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.019034,-0.023456
101206,ABSL Frontline Equity Fund - Regular - Growth,-0.013282,-0.017439
101207,ABSL Small Cap Fund - Regular - Growth,-0.026021,-0.032459
101208,ABSL Liquid Fund - Regular - Growth,-0.000269,-0.000422
102885,UTI Nifty 50 Index Fund - Regular - Growth,-0.012613,-0.01549
102886,UTI Mid Cap Fund - Regular - Growth,-0.01922,-0.023251
102887,UTI Flexi Cap Fund - Regular - Growth,-0.015232,-0.019411
118632,Nippon India Large Cap Fund - Regular - Growth,-0.013954,-0.017619
118633,Nippon India Large Cap Fund - Direct - Growth,-0.013443,-0.01663
118634,Nippon India Small Cap Fund - Regular - Growth,-0.025438,-0.032304
118635,Nippon India ETF Nifty 50 BeES,-0.012554,-0.016177
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.003804,-0.004919
119092,Axis Bluechip Fund - Regular - Growth,-0.01375,-0.017328
119093,Axis Bluechip Fund - Direct - Growth,-0.014226,-0.017487
119094,Axis Midcap Fund - Regular - Growth,-0.01848,-0.02426
119095,Axis Small Cap Fund - Regular - Growth,-0.026188,-0.031667
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.003938,-0.005014
119551,SBI Bluechip Fund - Regular Plan - Growth,-0.012846,-0.016397
119552,SBI Bluechip Fund - Direct Plan - Growth,-0.013501,-0.017336
119598,SBI Small Cap Fund - Regular Plan - Growth,-0.024507,-0.030595
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.026859,-0.032384
120503,ICICI Pru Bluechip Fund - Regular - Growth,-0.01355,-0.017451
120504,ICICI Pru Bluechip Fund - Direct - Growth,-0.013728,-0.017494
120505,ICICI Pru Midcap Fund - Regular - Growth,-0.018892,-0.024342
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-0.014388,-0.019405
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.000222,-0.000373
120841,Kotak Bluechip Fund - Regular - Growth,-0.013142,-0.016363
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.018219,-0.022725
120843,Kotak Flexicap Fund - Regular - Growth,-0.014508,-0.018381
120844,Kotak Liquid Fund - Regular - Growth,-0.000285,-0.000411
125497,HDFC Top 100 Fund - Direct Plan - Growth,-0.014592,-0.01831
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.018365,-0.023094
148567,Mirae Asset Large Cap Fund - Regular - Growth,-0.01356,-0.017623
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.014712,-0.018765
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-0.017118,-0.021328
149322,DSP Top 100 Equity Fund - Regular - Growth,-0.014474,-0.018402
149323,DSP Midcap Fund - Regular - Growth,-0.017882,-0.022607
149324,DSP Small Cap Fund - Regular - Growth,-0.023483,-0.031036
